Cow_ID,Quarter,IMI_species,SCC
720,LF,SA,3600000
720,RH,CNS,230000
720,RF,SA,4100000
719,LH,,130000
719,LF,,120000
719,RH,CNS,270000
719,RF,,24000
739,LH,CNS,66000
739,LF,,6000
739,RH,,4000
739,RF,,6000
693,LH,CNS,13000
693,LF,Unknown,37000
693,RH,Mix_Coryne_Strep,13000
693,RF,,18000
731,LH,,6000
731,LF,CNS,2000000
731,RH,,44000
731,RF,Contaminated,7000
738,LH,Contaminated,20000
738,LF,,3000
738,RH,Strep,7000
738,RF,,5000
753,LH,,39000
753,LF,,18000
753,RH,,24000
753,RF,,25000
675,LH,,13000
675,LF,,31000
675,RH,,22000
675,RF,,41000
763,LH,,210000
763,LF,,24000
763,RH,,13000
763,RF,,9000
733,LH,Other_Gram_positive,10000
733,LF,CNS,170000
733,RH,,17000
733,RF,Contaminated,410000
701,LH,SA,470000
701,LF,,29000
701,RH,,110000
701,RF,,160000
708,LH,Contaminated,16000
708,LF,,26000
708,RH,CNS,18000
708,RF,Contaminated,23000
744,LH,,13000
744,LF,,12000
744,RH,,16000
744,RF,,10000
745,LH,,22000
745,LF,,23000
745,RH,,42000
745,RF,,20000
761,LH,CNS,70000
761,LF,,2000
761,RH,,4000
761,RF,,5000
713,LH,,180000
713,LF,,110000
713,RH,,180000
713,RF,,160000
722,LH,,9000
722,LF,,6000
722,RH,,5000
722,RF,,6000
664,LH,,880000
664,LF,,20000
664,RH,,2000
664,RF,,2000
765,LH,,9000
765,LF,,9000
765,RH,,18000
765,RF,,16000
CB3,LH,,12000
CB3,LF,,3000
CB3,RH,Unknown,15000
CB3,RF,,5000
755,LH,,6000
755,LF,,8000
755,RH,,7000
755,RF,,6000
743,LH,,3000
743,LF,,7000
743,RH,,3000
743,RF,,7000
685,LH,,42000
685,LF,,33000
685,RH,,24000
685,RF,,22000
616,LH,,43000
616,LF,,35000
616,RH,,27000
616,RF,,28000
