,date,visit,farm,order,cow_id,quarter,path_1,path1_IMI,path_2,path2_IMI,path_3,path3_IMI,path_4,path4_IMI,quarter_code,isolate_1,isolate_2,isolate_3,isolate_4,clinical,blind,teatinj,pstmilking,mixed_inf_series,dup_not_collected,IMI_series,hygiene_1,hygiene_2,cc_1,cc_2,cc_3,scc,contam,contam_comment,uniqueID,,scc_div_100k,ls,ls_no_neg
2985,3.10.2020,third,vonTrapp,34,hosana,LF,cns,yes2,,,,,,,2,VT098,,,,,,,,no,,yes,NA,NA,NA,NA,NA,2000,,,hosana_LF_third,,0.02,-2.64385619,0
42,1.2.2020,first,Butterworks,20,love,RF,cns,yes2,,,,,,,2,BW035,,,,,,,,,,yes,NA,NA,NA,NA,NA,3000,,,love_RF_first,,0.03,-2.058893689,0
369,12.13.2019,first,Swallowdale,9,diane,RF,cns,yes1,,,,,,,1,SW013,,,,,,,,no,,yes,NA,NA,NA,NA,NA,3000,,,diane_RF_first,,0.03,-2.058893689,0
697,2.28.2020,third,Swallowdale,35,skyler,LH,cns,yes1,,,,,,,1,SW134,,,,,,,,no,,yes,NA,NA,NA,NA,NA,3000,,,skyler_LH_third,,0.03,-2.058893689,0
1904,3.12.2020,third,OughtaBe,9,ruger,RF,cns,yes2,,,,,,,2,OB124,,,,,,,,no,,yes,NA,NA,NA,NA,NA,3000,,,ruger_RF_third,,0.03,-2.058893689,0
2075,1.17.2020,first,Paddlebridge,27,saige313,LH,,,,,,,,,5,PB018,,,,,,,,,,no,NA,NA,NA,NA,NA,3000,,,saige313_LH_first,,0.03,-2.058893689,0
2242,3.20.2020,third,Paddlebridge,4,loha32,RH,cns,yes2,,,,,,,2,PB064,,,,,,,,no,,yes,NA,NA,NA,NA,NA,3000,,,loha32_RH_third,,0.03,-2.058893689,0
2354,12.17.2019,first,BJ,1,757,LF,cns,yes1,,,,,,,1,BJ001,,,,,,,,no,,yes,NA,NA,NA,NA,NA,3000,,,757_LF_first,,0.03,-2.058893689,0
218,3.3.2020,third,Butterworks,3,strawberry,RH,cns,yes2,,,,,,,2,BW119,,,,,,,,no,,yes,NA,NA,NA,NA,NA,4000,,,strawberry_RH_third,,0.04,-1.64385619,0
1492,2.19.2020,second,Glennview,29,204,LH,cns,yes2,,,,,,,2,GV088,,,,,,,,no,,yes,NA,NA,NA,NA,NA,4000,,,204_LH_second,,0.04,-1.64385619,0
1512,2.19.2020,second,Glennview,35,198,LF,cns,yes2,,,,,,,2,GV098,,,,,,,,no,,yes,NA,NA,NA,NA,NA,4000,,,198_LF_second,,0.04,-1.64385619,0
1920,3.12.2020,third,OughtaBe,14,peonie,RH,cns,yes2,,,,,,,2,OB131,,,,,,,,no,,yes,NA,NA,NA,NA,NA,4000,,,peonie_RH_third,,0.04,-1.64385619,0
2556,2.26.2020,third,BJ,4,754,LF,cns,yes2,,,,,,,2,BJ053,,,,,,,,no,,yes,NA,NA,NA,NA,NA,4000,,,754_LF_third,,0.04,-1.64385619,0
