"","date","visit","farm","order","cow_id","quarter","path_1","path1_IMI","path_2","path2_IMI","path_3","path3_IMI","path_4","path4_IMI","quarter_code","isolate_1","isolate_2","isolate_3","isolate_4","clinical","blind","teatinj","pstmilking","mixed_inf_series","dup_not_collected","IMI_series","hygiene_1","hygiene_2","cc_1","cc_2","cc_3","scc","contam","contam_comment","uniqueID","scc_eq_above_200k","scc_eq_above_100k"
"100","2.4.2020","second","Butterworks",24,"nellie","LF","","","","","","","","",3,"","","","","","","","","","","","NA","NA","NA","NA","NA",9000,"","","nellie_LF_second","no","no"
"101","2.4.2020","second","Butterworks",25,"jolene","LH","","","","","","","","",3,"","","","","","","","","","","","NA","NA","NA","NA","NA",45000,"","","jolene_LH_second","no","no"
"102","2.4.2020","second","Butterworks",25,"jolene","LF","","","","","","","","",3,"","","","","","","","","","","","NA","NA","NA","NA","NA",95000,"","","jolene_LF_second","no","no"
"103","2.4.2020","second","Butterworks",25,"jolene","RH","","","","","","","","",5,"","","","","","","","","","","","NA","NA","NA","NA","NA",84000,"","","jolene_RH_second","no","no"
"104","2.4.2020","second","Butterworks",27,"petunia","LF","","","","","","","","",3,"","","","","","","","","","","","NA","NA","NA","NA","NA",10000,"","","petunia_LF_second","no","no"
"105","2.4.2020","second","Butterworks",27,"petunia","RF","","","","","","","","",5,"","","","","","","","","","","","NA","NA","NA","NA","NA",360000,"","","petunia_RF_second","yes","yes"
"106","2.4.2020","second","Butterworks",28,"mandolin","LF","","","","","","","","",5,"","","","","","","","","","","","NA","NA","NA","NA","NA",320000,"","","mandolin_LF_second","yes","yes"
"107","2.4.2020","second","Butterworks",28,"mandolin","RH","","","","","","","","",3,"","","","","","","","","","","","NA","NA","NA","NA","NA",170000,"","","mandolin_RH_second","no","yes"
"108","2.4.2020","second","Butterworks",29,"peace","LH","","","","","","","","",5,"","","","","","","","","","","","NA","NA","NA","NA","NA",11000,"","","peace_LH_second","no","no"
"109","2.4.2020","second","Butterworks",29,"peace","RH","","","","","","","","",5,"","","","","","","","","","","","NA","NA","NA","NA","NA",42000,"","","peace_RH_second","no","no"
"110","2.4.2020","second","Butterworks",29,"peace","RF","","","","","","","","",3,"","","","","","","","","","","","NA","NA","NA","NA","NA",7000,"","","peace_RF_second","no","no"
"111","2.4.2020","second","Butterworks",30,"eva","LF","","","","","","","","",5,"","","","","","","","","","","","NA","NA","NA","NA","NA",27000,"","","eva_LF_second","no","no"
"112","2.4.2020","second","Butterworks",30,"eva","RH","","","","","","","","",5,"","","","","","","","","","","","NA","NA","NA","NA","NA",9000,"","","eva_RH_second","no","no"
"113","2.4.2020","second","Butterworks",31,"bon","LH","","","","","","","","",3,"","","","","","","","","","","","NA","NA","NA","NA","NA",220000,"","","bon_LH_second","yes","yes"
"114","2.4.2020","second","Butterworks",31,"bon","RH","","","","","","","","",3,"","","","","","","","","","","","NA","NA","NA","NA","NA",290000,"","","bon_RH_second","yes","yes"
"115","2.4.2020","second","Butterworks",32,"lilac","LH","","","","","","","","",3,"","","","","","","","","","","","NA","NA","NA","NA","NA",10000,"","","lilac_LH_second","no","no"
"116","2.4.2020","second","Butterworks",32,"lilac","LF","","","","","","","","",3,"","","","","","","","","","","","NA","NA","NA","NA","NA",6000,"","","lilac_LF_second","no","no"
"117","2.4.2020","second","Butterworks",32,"lilac","RF","","","","","","","","",3,"","","","","","","","","","","","NA","NA","NA","NA","NA",120000,"","","lilac_RF_second","no","yes"
"118","2.4.2020","second","Butterworks",33,"applecore","LF","","","","","","","","",3,"","","","","","","","","","","","NA","NA","NA","NA","NA",22000,"","","applecore_LF_second","no","no"
"119","3.3.2020","third","Butterworks",1,"masala","LH","","","","","","","","",3,"","","","","","","","","","","","NA","NA","NA","NA","NA",0,"","","masala_LH_third","no","no"
"120","3.3.2020","third","Butterworks",1,"masala","RH","","","","","","","","",5,"","","","","","","","","","","","NA","NA","NA","NA","NA",0,"","","masala_RH_third","no","no"
"121","3.3.2020","third","Butterworks",2,"muffin","RF","","","","","","","","",3,"","","","","","","","","","","","NA","NA","NA","NA","NA",0,"","","muffin_RF_third","no","no"
"122","3.3.2020","third","Butterworks",3,"strawberry","LH","","","","","","","","",5,"","","","","","","","","","","","NA","NA","NA","NA","NA",0,"","","strawberry_LH_third","no","no"
"123","3.3.2020","third","Butterworks",3,"strawberry","RF","","","","","","","","",3,"","","","","","","","","","","","NA","NA","NA","NA","NA",3000,"","","strawberry_RF_third","no","no"
"124","3.3.2020","third","Butterworks",4,"pomme","LH","","","","","","","","",3,"","","","","","","","","","","","NA","NA","NA","NA","NA",0,"","","pomme_LH_third","no","no"
"125","3.3.2020","third","Butterworks",4,"pomme","RF","","","","","","","","",3,"","","","","","","","","","","","NA","NA","NA","NA","NA",2000,"","","pomme_RF_third","no","no"
"126","3.3.2020","third","Butterworks",5,"mango","LF","","","","","","","","",5,"","","","","","","","","","","","NA","NA","NA","NA","NA",3000,"","","mango_LF_third","no","no"
"127","3.3.2020","third","Butterworks",5,"mango","RH","","","","","","","","",5,"","","","","","","","","","","","NA","NA","NA","NA","NA",0,"","","mango_RH_third","no","no"
"128","3.3.2020","third","Butterworks",6,"happiness","LF","","","","","","","","",3,"","","","","","","","","","","","NA","NA","NA","NA","NA",8000,"","","happiness_LF_third","no","no"
"129","3.3.2020","third","Butterworks",6,"happiness","RH","","","","","","","","",3,"","","","","","","","","","","","NA","NA","NA","NA","NA",21000,"","","happiness_RH_third","no","no"
"130","3.3.2020","third","Butterworks",6,"happiness","RF","","","","","","","","",3,"","","","","","","","","","","","NA","NA","NA","NA","NA",13000,"","","happiness_RF_third","no","no"
"131","3.3.2020","third","Butterworks",7,"noel","LH","","","","","","","","",5,"","","","","","","","","","","","NA","NA","NA","NA","NA",4000,"","","noel_LH_third","no","no"
"132","3.3.2020","third","Butterworks",7,"noel","RH","","","","","","","","",3,"","","","","","","","","","","","NA","NA","NA","NA","NA",12000,"","","noel_RH_third","no","no"
"133","3.3.2020","third","Butterworks",7,"noel","RF","","","","","","","","",3,"","","","","","","","","","","","NA","NA","NA","NA","NA",3000,"","","noel_RF_third","no","no"
"134","3.3.2020","third","Butterworks",8,"pearl","LH","","","","","","","","",3,"","","","","","","","","","","","NA","NA","NA","NA","NA",53000,"","","pearl_LH_third","no","no"
"135","3.3.2020","third","Butterworks",8,"pearl","RH","","","","","","","","",3,"","","","","","","","","","","","NA","NA","NA","NA","NA",44000,"","","pearl_RH_third","no","no"
"136","3.3.2020","third","Butterworks",8,"pearl","RF","","","","","","","","",3,"","","","","","","","","","","","NA","NA","NA","NA","NA",1e+05,"","","pearl_RF_third","no","yes"
"137","3.3.2020","third","Butterworks",9,"blackberry","LF","","","","","","","","",3,"","","","","","","","","","","","NA","NA","NA","NA","NA",12000,"","","blackberry_LF_third","no","no"
"138","3.3.2020","third","Butterworks",9,"blackberry","RH","","","","","","","","",5,"","","","","","","","","","","","NA","NA","NA","NA","NA",30000,"","","blackberry_RH_third","no","no"
