,date,visit,farm,order,cow_id,quarter,path_1,path1_IMI,path_2,path2_IMI,path_3,path3_IMI,path_4,path4_IMI,quarter_code,isolate_1,isolate_2,isolate_3,isolate_4,clinical,blind,teatinj,pstmilking,mixed_inf_series,dup_not_collected,IMI_series,hygiene_1,hygiene_2,cc_1,cc_2,cc_3,scc,contam,contam_comment,uniqueID
80,1.2.2020,first,Butterworks,32,lilac,LF,,,,,,,,,6,,,,,,,,,,,,NA,NA,NA,NA,NA,25000,,,lilac_LF_first
81,1.2.2020,first,Butterworks,32,lilac,RH,sa,yes2,,,,,,,2,BW062,,,,,,,,no,,yes,NA,NA,NA,NA,NA,3700000,,,lilac_RH_first
82,1.2.2020,first,Butterworks,33,plantain,LH,cns,yes2,,,,,,,2,BW063,,,,,,,,no,,yes,NA,NA,NA,NA,NA,89000,,,plantain_LH_first
83,1.2.2020,first,Butterworks,33,plantain,LF,sa,yes2,,,,,,,2,BW064,,,,,,,,no,,yes,NA,NA,NA,NA,NA,470000,,,plantain_LF_first
84,1.2.2020,first,Butterworks,33,plantain,RF,strep,yes27,corynebac,yes27,,,,,27,BW065,BW066,,,,,,,yes,,yes,NA,NA,NA,NA,NA,930000,,,plantain_RF_second
85,2.4.2020,second,Butterworks,1,masala,LH,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,40000,,,masala_LH_second
86,2.4.2020,second,Butterworks,1,masala,LF,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,40000,,,masala_LF_second
87,2.4.2020,second,Butterworks,1,masala,RH,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,33000,,,masala_RH_second
88,2.4.2020,second,Butterworks,1,masala,RF,cns,yes1,,,,,,,1,BW071,,,,,,,,no,,yes,NA,NA,NA,NA,NA,67000,,,masala_RF_second
89,2.4.2020,second,Butterworks,2,strawberry,LH,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,13000,,,strawberry_LH_second
90,2.4.2020,second,Butterworks,2,strawberry,LF,,,,,,,,,5,,,,,,,,,,,,NA,NA,NA,NA,NA,9000,,,strawberry_LF_second
91,2.4.2020,second,Butterworks,2,strawberry,RH,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,11000,,,strawberry_RH_second
92,2.4.2020,second,Butterworks,2,strawberry,RF,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,9000,,,strawberry_RF_second
93,2.4.2020,second,Butterworks,3,muffin,LH,cns,yes2,,,,,,,2,BW072,,,,,,,,no,,yes,NA,NA,NA,NA,NA,400000,,,muffin_LH_second
94,2.4.2020,second,Butterworks,3,muffin,LF,,,,,,,,,5,,,,,,,,,,,,NA,NA,NA,NA,NA,11000,,,muffin_LF_second
95,2.4.2020,second,Butterworks,3,muffin,RH,cns,yes2,,,,,,,2,BW073,,,,,,,,no,,yes,NA,NA,NA,NA,NA,280000,,,muffin_RH_second
96,2.4.2020,second,Butterworks,3,muffin,RF,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,7000,,,muffin_RF_second
97,2.4.2020,second,Butterworks,4,mango,LH,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,4000,,,mango_LH_second
98,2.4.2020,second,Butterworks,4,mango,LF,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,6000,,,mango_LF_second
99,2.4.2020,second,Butterworks,4,mango,RH,,,,,,,,,5,,,,,,,,,,,,NA,NA,NA,NA,NA,4000,,,mango_RH_second
100,2.4.2020,second,Butterworks,4,mango,RF,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,5000,,,mango_RF_second
101,2.4.2020,second,Butterworks,5,pomme,LH,,,,,,,,,5,,,,,,,,,,,,NA,NA,NA,NA,NA,6000,,,pomme_LH_second
102,2.4.2020,second,Butterworks,5,pomme,LF,cns,yes1,,,,,,,1,BW074,,,,,,,,no,,yes,NA,NA,NA,NA,NA,40000,,,pomme_LF_second
103,2.4.2020,second,Butterworks,5,pomme,RH,strep,yes27,cns,yes27,,,,,27,BW075,BW076,,,,,,,yes,,yes,NA,NA,NA,NA,NA,230000,,,pomme_RH_second
104,2.4.2020,second,Butterworks,5,pomme,RF,,,,,,,,,5,,,,,,,,,,,,NA,NA,NA,NA,NA,11000,,,pomme_RF_second
105,2.4.2020,second,Butterworks,6,noel,LH,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,5000,,,noel_LH_second
106,2.4.2020,second,Butterworks,6,noel,LF,cns,yes2,,,,,,,2,BW077,,,,,,,,no,,yes,NA,NA,NA,NA,NA,61000,,,noel_LF_second
107,2.4.2020,second,Butterworks,6,noel,RH,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,6000,,,noel_RH_second
108,2.4.2020,second,Butterworks,6,noel,RF,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,7000,,,noel_RF_second
109,2.4.2020,second,Butterworks,7,pearl,LH,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,45000,,,pearl_LH_second
110,2.4.2020,second,Butterworks,7,pearl,LF,,,,,,,,,5,,,,,,,,,,,,NA,NA,NA,NA,NA,43000,,,pearl_LF_second
111,2.4.2020,second,Butterworks,7,pearl,RH,,,,,,,,,5,,,,,,,,,,,,NA,NA,NA,NA,NA,36000,,,pearl_RH_second
112,2.4.2020,second,Butterworks,7,pearl,RF,cns,yes2,,,,,,,2,BW078,,,,,,,,no,,yes,NA,NA,NA,NA,NA,86000,,,pearl_RF_second
113,2.4.2020,second,Butterworks,8,happiness,LF,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,12000,,,happiness_LF_second
114,2.4.2020,second,Butterworks,8,happiness,RH,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,21000,,,happiness_RH_second
115,2.4.2020,second,Butterworks,8,happiness,RF,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,14000,,,happiness_RF_second
116,2.4.2020,second,Butterworks,9,wildcucumber,LH,cns,yes21,,,,,,,21,BW079,,,,,,,,no,,yes,NA,NA,NA,NA,NA,13000,,,wildcucumber_LH_second
117,2.4.2020,second,Butterworks,9,wildcucumber,LF,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,23000,,,wildcucumber_LF_second
118,2.4.2020,second,Butterworks,9,wildcucumber,RH,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,15000,,,wildcucumber_RH_second
119,2.4.2020,second,Butterworks,9,wildcucumber,RF,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,21000,,,wildcucumber_RF_second
120,2.4.2020,second,Butterworks,10,blackberry,LH,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,28000,,,blackberry_LH_second
121,2.4.2020,second,Butterworks,10,blackberry,LF,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,28000,,,blackberry_LF_second
122,2.4.2020,second,Butterworks,10,blackberry,RH,,,,,,,,,5,,,,,,,,,,,,NA,NA,NA,NA,NA,42000,,,blackberry_RH_second
123,2.4.2020,second,Butterworks,10,blackberry,RF,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,24000,,,blackberry_RF_second
124,2.4.2020,second,Butterworks,11,rhubarb,LH,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,3000,,,rhubarb_LH_second
125,2.4.2020,second,Butterworks,11,rhubarb,LF,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,5000,,,rhubarb_LF_second
126,2.4.2020,second,Butterworks,11,rhubarb,RH,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,5000,,,rhubarb_RH_second
