farm,uniqueID,cow_id,quarter,path_1,path1_IMI,path_2,path2_IMI,path_3,path3_IMI,path_4,path4_IMI,quarter_code,isolate_1,isolate_2,isolate_3,isolate_4,IMI_series
OughtaBe,pistol_RF_second,pistol,RF,sa,yes2,,,,,,,2,OB094,,,,yes
OughtaBe,tiktac_RF_first,tiktac,RF,sa,yes2,,,,,,,2,OB038,,,,yes
OughtaBe,tiktac_RF_third,tiktac,RF,sa,yes2,,,,,,,2,OB155,,,,yes
,,,,,,,,,,,,,,,,,
Paddlebridge,annabelle27_RF_first,annabelle27,RF,sa,yes2,,,,,,,2,PB004,,,,yes
Paddlebridge,annabelle27_RF_second,annabelle27,RF,sa,yes2,,,,,,,2,PB029,,,,yes
Paddlebridge,annabelle27_RF_third,annabelle27,RF,sa,yes2,,,,,,,2,PB068,,,,yes
Paddlebridge,annabeth2_LF_second,annabeth2,LF,sa,yes2,sa,other18,,,,,2,PB058,PB059,,,yes
Paddlebridge,annabeth2_LF_third,annabeth2,LF,sa,yes2,,,,,,,2,PB102,,,,yes
Paddlebridge,marney382_LF_first,marney382,LF,sa,yes1,,,,,,,1,PB025,,,,yes
Paddlebridge,marney382_LF_second,marney382,LF,sa,yes2,,,,,,,2,PB042,,,,yes
Paddlebridge,marney382_LF_third,marney382,LF,sa,yes2,,,,,,,2,PB086,,,,yes
Paddlebridge,scrapie278_RF_first,scrapie278,RF,sa,yes1,,,,,,,1,PB022,,,,yes
Paddlebridge,scrapie278_RF_second,scrapie278,RF,sa,yes2,,,,,,,2,PB053,,,,yes
Paddlebridge,shania291_LF_first,shania291,LF,sa,yes2,,,,,,,2,PB015,,,,yes
Paddlebridge,shania291_LF_second,shania291,LF,sa,yes1,,,,,,,1,PB050,,,,yes
Paddlebridge,shania291_LF_third,shania291,LF,sa,yes1,,,,,,,1,PB089,,,,yes
,,,,,,,,,,,,,,,,,
StonyPond,charlie_LF_second,charlie,LF,sa,yes2,,,,,,,2,SP047,,,,yes
StonyPond,charlotte_LF_first,charlotte,LF,sa,yes2,,,,,,,2,SP016,,,,yes
StonyPond,italia_RF_first,italia,RF,sa,yes2,sa,other18,sa,other18,,,2,SP023,SP024,SP025,,yes
,,,,,,,,,,,,,,,,,
Swallowdale,gigi_RH_second,gigi,RH,sa,yes2,,,,,,,2,SW091,,,,yes
Swallowdale,gigi_RH_third,gigi,RH,sa,yes1,,,,,,,1,SW126,,,,yes
Swallowdale,zeal_RF_first,zeal,RF,sa,yes21,,,,,,,21,SW047,,,,yes
,,,,,,,,,,,,,,,,,
vonTrapp,leopard_LH_first,leopard,LH,sa,yes2,,,,,,,2,VT005,,,,yes
vonTrapp,leopard_LH_second,leopard,LH,sa,yes2,sa,other18,,,,,2,VT032,VT033,,,yes
vonTrapp,leopard_LH_third,leopard,LH,sa,yes2,,,,,,,2,VT065,,,,yes
