date,visit,farm,order,cow_id,quarter,path_1,path1_IMI,path_2,path2_IMI,path_3,path3_IMI,path_4,path4_IMI,quarter_code,isolate_1,isolate_2,isolate_3,isolate_4,clinical,blind,teatinj,pstmilking,mixed_inf_series,dup_not_collected,IMI_series,hygiene_1,hygiene_2,cc_1,cc_2,cc_3,scc,contam,contam_comment
1.2.2020,first,Butterworks,33,Plantain,LF,SA,yes2,,,,,,,2,BW064,,,,,,,,no,,yes,,,,,,,,
1.2.2020,first,Butterworks,33,Plantain,RH,,,,,,,,,8,,,,,,,,,,,,,,,,,,yes,
1.2.2020,second,Butterworks,33,Plantain,RF,Strep,yes27,Corynebac,yes27,,,,,27,BW065,BW066,,,,,,,yes,,yes,,,,,,,,
2.4.2020,second,Butterworks,1,Masala,LH,,,,,,,,,3,,,,,,,,,,,,,,,,,,,
2.4.2020,second,Butterworks,1,Masala,LF,,,,,,,,,3,,,,,,,,,,,,,,,,,,,
2.4.2020,second,Butterworks,1,Masala,RH,,,,,,,,,3,,,,,,,,,,,,,,,,,,,
2.4.2020,second,Butterworks,1,Masala,RF,CNS,yes1,,,,,,,1,BW071,,,,,,,,no,,yes,,,,,,,,
2.4.2020,second,Butterworks,2,Strawberry,LH,,,,,,,,,3,,,,,,,,,,,,,,,,,,,
2.4.2020,second,Butterworks,2,Strawberry,LF,,,,,,,,,5,,,,,,,,,,,,,,,,,,,
2.4.2020,second,Butterworks,2,Strawberry,RH,,,,,,,,,3,,,,,,,,,,,,,,,,,,,
2.4.2020,second,Butterworks,2,Strawberry,RF,,,,,,,,,3,,,,,,,,,,,,,,,,,,,
2.4.2020,second,Butterworks,3,Muffin,LH,CNS,yes2,,,,,,,2,BW072,,,,,,,,no,,yes,,,,,,,,
2.4.2020,second,Butterworks,3,Muffin,LF,,,,,,,,,5,,,,,,,,,,,,,,,,,,,
2.4.2020,second,Butterworks,3,Muffin,RH,CNS,yes2,,,,,,,2,BW073,,,,,,,,no,,yes,,,,,,,,
2.4.2020,second,Butterworks,3,Muffin,RF,,,,,,,,,3,,,,,,,,,,,,,,,,,,,
2.4.2020,second,Butterworks,4,Mango,LH,,,,,,,,,3,,,,,,,,,,,,,,,,,,,
2.4.2020,second,Butterworks,4,Mango,LF,,,,,,,,,3,,,,,,,,,,,,,,,,,,,
2.4.2020,second,Butterworks,4,Mango,RH,,,,,,,,,5,,,,,,,,,,,,,,,,,,,
2.4.2020,second,Butterworks,4,Mango,RF,,,,,,,,,3,,,,,,,,,,,,,,,,,,,
2.4.2020,second,Butterworks,5,Pomme,LH,,,,,,,,,5,,,,,,,,,,,,,,,,,,,
2.4.2020,second,Butterworks,5,Pomme,LF,CNS,yes1,,,,,,,1,BW074,,,,,,,,no,,yes,,,,,,,,
2.4.2020,second,Butterworks,5,Pomme,RH,Strep,yes27,CNS,yes27,,,,,27,BW075,BW076,,,,,,,yes,,yes,,,,,,,,
2.4.2020,second,Butterworks,5,Pomme,RF,,,,,,,,,5,,,,,,,,,,,,,,,,,,,
2.4.2020,second,Butterworks,6,Noel,LH,,,,,,,,,3,,,,,,,,,,,,,,,,,,,
2.4.2020,second,Butterworks,6,Noel,LF,CNS,yes2,,,,,,,2,BW077,,,,,,,,no,,yes,,,,,,,,
2.4.2020,second,Butterworks,6,Noel,RH,,,,,,,,,3,,,,,,,,,,,,,,,,,,,
2.4.2020,second,Butterworks,6,Noel,RF,,,,,,,,,3,,,,,,,,,,,,,,,,,,,
2.4.2020,second,Butterworks,7,Pearl,LH,,,,,,,,,3,,,,,,,,,,,,,,,,,,,
2.4.2020,second,Butterworks,7,Pearl,LF,,,,,,,,,5,,,,,,,,,,,,,,,,,,,
2.4.2020,second,Butterworks,7,Pearl,RH,,,,,,,,,5,,,,,,,,,,,,,,,,,,,
2.4.2020,second,Butterworks,7,Pearl,RF,CNS,yes2,,,,,,,2,BW078,,,,,,,,no,,yes,,,,,,,,
2.4.2020,second,Butterworks,8,Happiness,LH,,,,,,,,,16,,,,,,yes,,,,,,,,,,,,,
2.4.2020,second,Butterworks,8,Happiness,LF,,,,,,,,,3,,,,,,,,,,,,,,,,,,,
2.4.2020,second,Butterworks,8,Happiness,RH,,,,,,,,,3,,,,,,,,,,,,,,,,,,,
2.4.2020,second,Butterworks,8,Happiness,RF,,,,,,,,,3,,,,,,,,,,,,,,,,,,,
